dates,oahuoahu0038_0001,oahuoahu0038_0002,oahuoahu0038_0003,oahuoahu0038_0004,oahuoahu0038_0005,oahuoahu0038_0006,oahuoahu0038_0007,oahuoahu0038_0008,oahuoahu0038_0009,oahuoahu0038_0010,oahuoahu0038_0011,oahuoahu0038_0012,oahuoahu0038_0013,oahuoahu0038_0014,oahuoahu0038_0015,oahuoahu0038_0016,oahuoahu0038_0017,oahuoahu0038_0018,oahuoahu0038_0019
2020-12-10 20:46:20.000,183.59881438456785,180.6483983140173,181.3766208233619,185.27312082237,186.9568835000542,180.89068904266284,183.26497696597067,180.59053093643644,178.7499086539577,180.5059591045592,180.87268753581267,181.23913080958843,183.57421415457952,183.7775004573189,184.07434485218465,179.77334453355303,176.86521732503005,177.58632536040363,174.7380232260062
2020-12-10 20:46:21.000,,,,,,,183.2649548803232,181.08494364404905,180.8323095017525,182.5578271305021,181.0131829338011,182.36337753405576,183.6899528184865,184.02239208567093,185.6319216470777,180.2994542706878,177.25768115950436,178.33221476946997,175.71641600807877
2020-12-10 20:48:09.000,186.3177533883935,181.34707597745427,180.2914218119938,185.72294338047016,190.1463473327732,181.4416195857948,183.7175414829814,179.60239578549164,180.8447206074428,181.750602758614,181.38937106740465,180.6887507774163,182.41029922608456,183.40441610206804,185.80472957755472,180.31134426784092,176.44354226479413,175.36932592356692,173.6857629158434
2020-12-11 20:43:41.000,185.11427960786125,182.12363145435427,181.56489579881188,185.8757849496074,186.88740847043724,,,,,,,,,,,,,,
2020-12-11 20:43:42.000,186.09443195882244,183.79658625157995,183.4010419782398,187.2383475451316,189.82665154715207,184.3503693822892,186.00057520227625,182.8090440063641,183.6506938863963,184.1832365446536,184.67834998001857,185.14837164216584,185.4267240145971,187.49135719988035,187.88759811487023,185.0621299140137,181.7826433146221,182.65727043614504,183.3804880093097
2020-12-13 18:35:11.000,187.4892407040602,179.15679314810896,180.9933820929038,185.9555406541864,189.7229434869216,179.022779381924,187.8422488370688,182.56732487458328,182.2109737858017,183.8276262921489,185.687945072499,182.67958723123385,184.0607444222605,185.4462404348281,186.6242105322194,182.1486851955785,183.1625661607935,176.2081499061133,176.79780482632376
2020-12-13 18:35:12.000,191.07539710501027,187.0023100324768,185.5196512252396,189.25487322440384,193.5892288932733,185.5395678660368,190.99268431757585,188.75604859277087,185.12582401236924,188.7076689257558,,,,,,,,,
2020-12-15 21:13:02.690,216.2443353262968,,,214.09024879952955,213.61796790464905,213.0215731216363,214.1862719621629,213.71411031029652,212.98871072213703,214.60966200417505,215.6130408540885,,,,,,,,
2020-12-22 20:30:33.000,189.0673604304556,183.27299105033552,184.4557632444076,187.1500490448329,190.02471091498947,185.27803607017745,186.0276697918288,182.35487291519945,183.0850216658145,184.563713370391,,,,,,,,,
2020-12-22 20:30:34.000,187.2646951003645,184.0872138566833,184.4556606789924,186.7904857534461,189.7610297481353,184.49007451099263,186.0275672264135,182.32551061353016,182.1975153432953,182.63868923614325,182.6623407246176,183.62473116625245,183.4196238438663,182.4785501922172,185.73735140096625,182.40445780635764,176.65205510453896,177.8042694024189,174.11770187845943
