dates,oahuoahu0042_0001,oahuoahu0042_0002,oahuoahu0042_0003
2019-09-15 20:34:54.000,158.25960843471805,158.98069440586335,161.98830828880529
2019-09-18 20:46:32.000,159.15328368182975,159.47635551655796,162.40289210005457
2019-09-24 19:49:21.000,157.16897877881766,158.9608583942973,161.24664066755713
2019-10-06 19:47:53.000,154.96409522379955,157.05990052811265,161.15164474629825
2019-10-06 20:46:43.000,157.36227004288085,158.77773024377453,163.52886804927093
2019-10-12 20:46:12.000,159.68163302370925,160.00470485843746,162.45769042763183
2019-10-14 19:46:42.000,160.82854878699044,161.1488798363295,163.32004459472125
2019-10-14 20:45:21.000,157.45004696019646,156.94782320373224,159.019739355727
2019-10-15 20:46:38.000,156.97762899898612,156.96852748755842,160.72911451904704
2019-10-21 20:43:15.000,157.52829473218668,157.84084408581947,161.74410830859017
2019-10-25 19:44:49.000,156.7785431023409,164.48299686969708,
2019-10-27 20:43:56.000,,,
2019-10-28 21:00:47.120,150.62005006985603,150.5951063095541,156.23266704154156
2019-10-30 20:47:34.000,158.26395528680015,159.8939507031213,163.6493144123048
2019-10-30 21:27:27.500,148.21391664519075,150.48498514196385,153.03732620665906
2019-10-30 21:27:29.560,152.53409054880197,152.84938068782392,157.77376011483403
2019-10-31 20:44:53.000,155.3033255309922,153.25155990936136,152.53074812378952
2019-11-01 19:41:23.000,156.40823374035054,156.72078309398333,160.62917878156634
2019-11-02 20:46:22.000,158.7267578128968,158.68040304979797,163.35129417716112
2019-11-10 19:39:29.000,154.56391891345208,155.29048645537566,158.72397239205165
2019-11-11 20:45:51.000,147.83738532551638,154.59172182707738,158.5249482135839
2019-11-13 20:51:52.000,,,
2019-11-14 21:04:17.080,152.54539560886354,155.22500072314912,160.88286796423628
2019-11-14 21:04:19.560,152.5454542222938,155.2250593365794,160.14632184570974
2019-11-15 19:41:06.000,,,
2019-11-19 19:41:14.000,,,
2019-11-25 19:39:35.000,157.00166460586556,155.8566017648357,160.51287777816742
2019-11-25 19:39:36.000,155.93528394182724,157.08014640968852,159.9997016641618
2019-11-29 20:46:59.000,161.12309821806062,160.1595048976197,164.97085983255616
2019-12-07 20:46:16.000,156.62280480151054,156.86311818557567,161.0922005194862
2019-12-08 20:35:34.000,153.5556423922872,156.1819268965053,160.2096852251493
2019-12-10 19:37:57.000,157.34025690819453,157.2520513400211,161.65645972359633
2019-12-10 19:37:58.000,149.88799748735696,155.26204862633224,161.47780178833466
2019-12-11 20:46:53.000,154.24959202796737,155.34816672650982,159.08310328734223
2019-12-12 20:36:10.000,,,
2019-12-12 20:48:25.000,156.03172567881117,154.75628502538407,155.53985242136451
2019-12-12 21:24:32.360,,,
2019-12-27 19:31:11.000,151.2438286610883,152.17764929604527,159.7823922287743
2020-01-06 21:23:38.090,154.96148927924247,155.68805682116604,161.1747147627137
2020-01-21 20:46:14.000,159.28746214150758,157.72382401028403,162.07014634378925
2020-01-21 20:48:16.000,157.41708854384086,159.25943289010527,162.55468113455865
2020-01-24 20:45:00.000,156.56769664331765,156.893509263435,160.500636999261
2020-01-26 20:44:55.000,156.7821517291894,158.66024699986255,160.61464291048344
2020-01-27 20:47:41.000,161.04107145776408,158.9970875318395,162.2676296396771
2020-01-29 20:47:02.000,160.57484630115502,159.89495674861607,163.03261810643227
2020-01-29 20:48:15.000,159.09290106361578,160.43452582375994,163.21454943199723
2020-01-30 19:29:32.000,159.51172273120022,160.23280870234552,163.5239055056527
2020-01-30 20:47:19.000,159.1655402160801,160.32258266454556,163.5709582030359
2020-02-02 21:21:39.390,154.5976444446578,156.66547694052548,158.94684387307882
2020-02-04 19:28:31.000,155.08329576844685,155.80803224987565,159.80324456042607
2020-02-09 20:45:25.000,161.2528676625871,161.1591805236354,162.80074460984102
2020-02-11 20:46:42.000,160.3098740369551,160.63020508629418,164.52720741011805
2020-02-15 19:26:02.000,154.4413549801238,154.76990838563032,157.088956898945
2020-02-16 20:50:29.000,161.44133105812014,163.31394475801494,166.06540456778288
2020-02-17 20:45:25.000,159.30457516217652,157.64534210618447,162.58372917405094
