dates,oahuoahu0044_0001,oahuoahu0044_0002,oahuoahu0044_0003,oahuoahu0044_0004,oahuoahu0044_0005,oahuoahu0044_0006,oahuoahu0044_0007
2021-03-14 20:45:14.000,145.30578662785783,145.74144243903217,143.71046258246915,139.38702529556366,139.0279755413971,145.90843768513372,144.45795696279038
2021-03-23 20:19:23.040,,,131.2230746695788,138.29295363030477,142.50729388777145,145.63792852854326,150.4580921242667
2021-04-02 20:44:08.000,,,,,,,
2021-04-08 20:28:22.590,150.31740378674832,152.09162792621058,151.5199844719337,147.4331666514941,146.519119132598,152.95291433121392,149.84348067969077
2021-04-09 20:24:30.000,,,,,,,
2021-04-09 20:45:28.000,149.49021215197996,153.38878030963667,152.44384168374444,148.24242072726608,147.80727768939107,153.70342951203105,150.76659921117462
2021-04-14 18:15:50.000,154.0095016923514,159.54283416978356,159.7335735097873,152.06494225260468,152.13382228344585,156.12007224305782,155.67244412658786
2021-04-15 20:17:01.400,156.40235668937504,158.38139087628707,155.9039576708171,153.64882220812237,166.70738331323167,179.40322646079184,
2021-04-16 20:43:32.000,166.65652244664622,167.60977102373846,179.29375963166825,,,,
2021-04-18 18:14:25.000,151.16329478526202,153.56246653934278,152.38436526859715,144.97886679872363,143.43012393141925,146.3899250787822,147.01341856526903
2021-04-18 18:14:26.000,151.184503818963,155.17800507676853,154.10399255451216,145.7605312510603,144.20144392225745,149.08246357798706,148.4524105688555
2021-04-18 20:43:23.000,169.15932282295523,170.4526722141369,,,,,
2021-04-19 20:54:08.670,,178.6275281225743,180.32765445566645,,169.39833619478125,168.22351542026678,167.472462155747
2021-04-21 20:44:45.000,152.11038003762678,156.49586243814397,156.8375065553673,152.00349592802763,151.5100971847442,159.08123973149728,157.0840452177394
2021-04-22 20:28:52.000,146.52873374378763,149.90588852585458,150.06445626122627,144.98081699754377,144.1434159309191,150.92203721094694,148.1025047539797
2021-04-22 20:28:54.210,148.7700976724006,152.28847574166065,151.55010839688603,146.9336836348213,146.49087186602543,153.4915730547468,150.8423419813205
2021-04-25 18:10:56.000,,,,,,,
2021-05-04 20:16:35.240,155.43276714276584,155.86802248890007,157.11609433725894,152.70451955473317,152.11512216502084,157.6347792882906,157.17123493300252
2021-05-04 20:16:37.540,152.99236735490814,154.57861967056897,154.41080881538596,151.28243664097738,150.0312320940429,156.24947754271835,153.73292173980371
2021-05-08 20:43:41.000,,,,,176.36416035509396,168.94931598055365,164.114114028716
2021-05-11 20:19:22.950,148.56525841951787,151.5177363099522,150.95187796240165,150.2234209462686,149.58397511899796,152.561032959783,150.12116837537232
2021-05-12 21:07:52.900,152.28693298443235,152.6940269271449,150.9553078536391,147.15033720247274,148.38260005420108,153.26500908909102,152.9631283090262
