dates,oahuoahu0016_0001,oahuoahu0016_0002,oahuoahu0016_0003,oahuoahu0016_0004,oahuoahu0016_0005,oahuoahu0016_0006,oahuoahu0016_0007,oahuoahu0016_0008,oahuoahu0016_0009,oahuoahu0016_0010,oahuoahu0016_0011,oahuoahu0016_0012,oahuoahu0016_0013,oahuoahu0016_0014,oahuoahu0016_0015,oahuoahu0016_0016,oahuoahu0016_0017,oahuoahu0016_0018,oahuoahu0016_0019,oahuoahu0016_0020,oahuoahu0016_0021,oahuoahu0016_0022,oahuoahu0016_0023,oahuoahu0016_0024,oahuoahu0016_0025,oahuoahu0016_0026,oahuoahu0016_0027,oahuoahu0016_0028,oahuoahu0016_0029
2019-08-17 19:56:10.000,,,22.10432445125961,25.54809811811356,28.13591179045006,20.21379647908601,19.04889344120497,18.390081099979625,28.999740432438497,29.848673182510257,28.00632653660795,32.30133827631949,30.69415038854329,27.28830122546231,36.3386224103794,35.63442246347083,26.73510470915539,24.951580589955373,42.33708700143002,30.820553280229657,27.236703450204768,24.667224636026045,28.12890325348914,19.01475504242409,20.679111292743624,17.354036334025512,6.063525192617714,3.990935420454541,-0.3253343601746152
2019-08-17 20:45:50.000,,,,,,,,38.0197113228782,40.57376840378116,49.71702043747547,,,60.283128507369184,47.69538918215939,43.32996511814083,42.518146463208,37.92823806555157,33.54782829853278,48.40963693425618,34.67975080856401,29.38803178288563,27.16715107296743,31.26535204992293,27.13257812795813,28.384273074553715,28.86490170688403,23.94826053995736,19.53183160270262,16.36032375894195
2019-08-20 20:44:00.000,32.48208002392305,24.372054170988804,21.40081744494688,22.07365260059688,26.27842767569633,21.83121830873544,21.256362511182694,23.310762805926736,33.08701990871881,31.1510136185873,30.58750774757784,37.78191727345843,34.05837266788903,31.24816862896464,43.36712377728857,45.425132739108605,41.632154290527126,37.84287700149228,49.4074189988866,36.515965833310496,33.256296488257334,33.9251309541082,34.674319602554675,28.154361408464904,27.59878196495672,29.11685128730729,24.276394430821,19.50116702500784,17.287980469629485
2019-08-21 20:47:32.000,26.23498873989441,18.936974341591004,19.991299930500293,22.213627400938307,24.76602700822276,20.62650489435669,21.786813691949742,21.449196858625303,30.75119336224621,31.678632558827115,29.59841613155446,36.64566682960543,33.68206172936329,27.048328617121246,40.32859582478248,42.06042202370203,35.64979721428649,37.53644914389589,53.07950813433848,32.44229535890346,29.313638513596427,29.196552148740075,33.45857583447709,28.056167783223906,28.325339760361103,30.200279601415254,23.31883419916275,19.04001421903486,16.87993079779243
2019-08-22 20:47:51.000,23.284997335505533,16.550231758521708,16.779198856922072,18.949178139499505,21.71432205941222,17.744364054039597,18.12574053295616,21.38129996315194,29.80352190853176,27.2199949908448,28.583092106092195,38.10143611865285,37.79956021474791,31.39744083406616,41.09838752488478,40.03592915683805,27.015423835705267,33.40351460375599,51.38870049251128,37.360973726709766,32.04466671318024,28.35216033708971,29.90445047259839,28.15246516032446,28.640521257513512,28.904546606087955,25.757128475150115,22.017890315307948,17.766000612131716
2019-08-25 20:46:38.000,19.163455626920644,12.7095548021682,15.201784133828408,17.448202681846098,19.854806297889333,15.688612174501198,17.004985471263826,16.512992589219806,21.92211241079178,23.727833644255924,28.8421834829558,35.66983649887559,33.05522733082349,28.12228614921241,32.326549721069405,35.09289737578655,30.229534323649283,31.737723355506223,46.82348061436967,33.07372474865779,27.74010388547509,25.079249635970832,25.763171331642585,25.069780031296503,26.365481654515754,27.138436034181336,26.313816908499817,20.8221887216192,11.041744477309472
2019-08-28 21:01:20.240,18.982149192098014,12.721370493747257,14.062215562261214,15.256792640529085,20.86920585373056,17.206239319449764,17.82494152170233,19.090933424239267,22.92966777496597,22.87429098471164,25.91568047750957,34.48877489863995,35.27938087926934,27.987203853826387,39.40571922964798,37.08566528282274,30.64329573764756,36.06118436159634,46.2849401239379,34.41423208277007,31.491206466767032,26.770954500753867,24.267123835933702,24.30000122109216,22.54377851769468,23.53015708977162,25.00059596383125,22.11962511872263,10.954707299794835
2019-08-28 21:01:22.300,17.96468768953298,12.44900130844718,15.41850925537554,16.350601629731575,20.556638899280724,15.900426111905444,16.866718334612923,17.744203617478497,20.9893680212716,20.81338231377414,25.36505159609,34.0105559378635,32.08042902363024,28.9982653115175,35.81517554553075,34.30461624274393,29.305933261345903,34.67086072723773,46.27887961820382,34.4147895072688,31.2213980746221,26.249078364713395,21.303885265828285,21.87896799487601,20.38156376926028,20.223192108933866,23.130214912462897,16.14591836260389,7.531265024069166
2019-09-02 19:54:13.000,26.936927677355,19.04074028731777,17.905596594805864,19.32261404363864,24.048164261375096,19.86321759661628,18.32297919565596,19.921867181524664,31.50469984850556,32.85287785357459,28.013955930483085,32.59752634354541,30.026178051674584,25.39492193362872,37.19252844123127,39.998132803957866,38.16046719244539,32.16921862480282,48.527650638563074,34.51714030172775,29.952429556622185,31.053144373762656,31.27429566284057,25.838785936890154,26.588944682735168,27.98221691483119,20.574778625725777,,
2019-09-02 19:54:14.000,27.995288461597514,21.00229741431997,20.692831503093227,20.826921798249387,24.205685516824907,20.41993022643352,19.196253571274266,18.56043284838464,30.142111561963176,31.756912632306594,29.844887753079338,33.49210861755781,28.031053434710564,24.760408970082366,39.8043682226546,40.91527241148639,38.30395650118067,34.26771869108092,49.12211453827866,34.88948085048128,28.56770340185086,27.90049495758988,29.53408359056908,23.84044465754971,25.712522972635707,26.354732968844456,19.37285583740154,14.908067908686126,10.467972017835129
