dates,oahu0079_0001,oahu0079_0002,oahu0079_0003,oahu0079_0004,oahu0079_0005,oahu0079_0006,oahu0079_0007,oahu0079_0008,oahu0079_0009,oahu0079_0010,satname
2017-09-05 21:00:21+00:00,-8.764491448678621,-13.661693444617178,-17.11789870210558,-17.16906329903581,-14.162128642116592,-12.760370003509674,-8.698284508138126,-8.996011313835941,-14.237643263819932,-12.80882279660248,L8
2017-09-11 21:19:07+00:00,-2.184699747029261,-7.589696058939967,-9.862986986620026,-8.512562888098145,-5.516265209433244,-3.396346153128955,1.4822731789982924,2.208686535169624,5.091562099682027,12.043447684537313,S2
2017-09-14 20:54:10+00:00,6.834556786013674,1.465056782703675,-2.722575218795962,0.2013573249354241,7.516727932409037,9.83153473942746,13.374697346282485,,,4.37539995421692,L8
2017-09-16 21:19:13+00:00,2.2429564027127222,3.0947251650424,1.0360578652489547,2.8289315226502603,4.391720252715992,6.326500867746667,10.04035640623272,7.220764651033257,8.24966597251623,8.861994934497474,S2
2017-09-18 21:09:12+00:00,7.012210624307238,5.103227683039596,-0.496627695558097,0.1548234890971742,1.2482456910707258,2.2481678360999617,4.335195560614391,2.929051149740211,,1.9914246154860324,S2
2017-09-22 20:56:38+00:00,0.0597389773205747,0.692047719223386,2.2775983636369936,3.1218954693131584,6.980738942168228,5.994525709323503,8.502889207845788,6.087981629272615,6.446842889123084,5.562291675310349,L7
2017-09-23 21:09:19+00:00,9.985676017215615,10.534992489157135,8.8373794354346,10.035611719989433,11.0542015361875,10.817957425924105,14.609082755251594,12.696928167945734,,,S2
2017-09-29 21:02:50+00:00,,,11.143795778399712,12.666359265460615,11.515662640288234,10.663642879492617,14.303330250180103,11.785174689881549,,,L7
2017-09-30 20:54:17+00:00,6.442312133930072,3.578769949335146,-0.5106145432652687,4.865650138820038,10.351044129710624,10.192579455038416,12.0279263970635,2.4107448945005734,,2.984368216621828,L8
2017-10-06 21:19:14+00:00,6.596414323917768,10.468587768342896,9.13425521260851,10.628792532786385,14.395886825797646,17.378028054901606,20.85977378643097,,,,S2
2017-10-07 21:00:30+00:00,-1.8789946993034008,-2.381046895905894,-6.439972252716929,1.7191545096158096,4.971738579062661,7.478712949071646,9.429789475604885,,,,L8
2017-10-08 20:56:40+00:00,-7.904103951118911,-9.020101510578028,-10.216863807802218,-8.445633137920275,-0.1232819885341908,2.634889724324869,6.66888910586308,,,-3.732621903994913,L7
2017-10-21 21:19:03+00:00,-2.4413005132376173,-1.602043431746963,-1.6783621570574652,0.2858257611240739,,,,,,,S2
2017-10-28 21:09:10+00:00,0.0873161749157842,0.2663992347477828,-2.883723078848914,-2.0838824851422606,2.144886455543769,2.6616192711895925,6.051254219233194,5.221686060661291,2.8098023117839435,7.030363019683447,S2
2017-11-01 20:54:21+00:00,3.757474820805668,0.3533963187980896,-3.477774773496193,1.1352177090511089,5.570087665429307,6.966701978347887,9.371695248061249,,,-0.1176307322163869,L8
2017-11-02 21:09:22+00:00,8.545671212911534,8.991254995997794,5.669069843181884,7.185256049636136,9.65887459330096,10.441952137398063,14.919808717311726,12.285625400272735,,12.52227127547849,S2
2017-11-08 21:00:31+00:00,3.0009121658245266,1.484017490239307,-0.397441012342645,2.3240503531686905,5.003689162695751,6.18468054408546,10.416183040435971,9.825573504672503,,,L8
2017-11-09 20:56:40+00:00,2.0725783339467405,1.7341698377620416,-0.4528144222068222,2.533955776040567,8.608258086793118,15.204406179561744,21.8189135329062,,,,L7
2017-11-10 21:19:02+00:00,-4.69323307669291,-8.637287998977543,-12.188920596969163,-11.107763456268197,-8.423198358659613,-6.898297629964712,-2.018518988834254,-3.062044896751619,-1.859560798896397,0.641843156205202,S2
2017-11-15 21:19:14+00:00,9.738468335521336,9.746389335408018,6.29724221338387,7.758766826041625,8.752428855904345,9.962046385784134,12.95042799570858,,,7.268549397523235,S2
2017-11-16 21:02:49+00:00,,,,,,,,,,,L7
2017-11-17 20:54:17+00:00,-14.726621845710216,-8.175105431897375,-6.966124913608975,2.488365447009362,6.946742898599937,8.632252528600286,11.131615155061004,,,,L8
2017-11-17 21:09:11+00:00,-12.450380102114414,-13.315423797324655,-15.508244697925033,-14.159520569628253,-11.706472085484853,-9.58798137154435,-4.8387139670242165,-5.526530162453763,-4.819081841284389,-1.09835970994066,S2
2017-11-24 21:00:25+00:00,3.439434428163354,-0.0410047032112937,-3.1870466653696146,0.1687342218103479,4.59280408168908,6.649070901623568,10.137797525326915,3.6044454137466366,,,L8
2017-11-30 21:19:04+00:00,,,,,,,,,,,S2
2017-12-03 20:54:12+00:00,1.22027319868157,0.8432025115794823,-2.258158026945075,0.7311764607741642,4.107521060120401,5.477277154346783,9.710420121166248,,,,L8
2017-12-05 21:19:11+00:00,4.386869917199474,3.0213609217969166,-6.210148070521629,-6.940924261267457,-7.42063209977315,-8.084218921127588,-3.651318375311956,-8.37879558285442,-11.986655706756498,-8.287476708983059,S2
