dates,oahu0104_0001,oahu0104_0002,satname
2017-03-21 21:02:27+00:00,38.03637235189211,43.87588030570952,L7
2017-04-09 21:19:14+00:00,21.128974367126705,23.8336753438532,S2
2017-05-08 21:02:42+00:00,49.96416564438211,48.677343274974525,L7
2017-05-19 21:19:19+00:00,,,S2
2017-06-01 20:59:51+00:00,22.41213094394863,21.43822413481894,L8
2017-06-08 21:19:17+00:00,11.130764014433773,8.636119759929963,S2
2017-06-25 21:02:53+00:00,31.61387654897196,27.98395937027933,L7
2017-06-28 21:19:14+00:00,15.20028927382482,11.145373429475804,S2
2017-07-03 21:00:01+00:00,23.96056473570613,28.178931852782046,L8
2017-07-11 21:02:54+00:00,,,L7
2017-07-18 21:19:17+00:00,5.428675482924474,5.331574963408242,S2
2017-08-02 21:19:15+00:00,12.50220966953869,11.709595084771545,S2
2017-08-04 21:00:13+00:00,57.3417248310008,59.76406884470361,L8
2017-08-12 21:02:50+00:00,36.74690178568901,36.653005889254274,L7
2017-08-20 21:00:19+00:00,25.271311355930624,23.20209208491393,L8
2017-08-22 21:19:12+00:00,7.186356452033032,5.34065118568066,S2
2017-08-27 21:19:16+00:00,6.904405492469025,,S2
2017-08-28 21:02:51+00:00,24.41791784469869,24.62765346318941,L7
2017-09-05 21:00:21+00:00,42.00696180338748,47.852069415035,L8
2017-09-11 21:19:07+00:00,10.27055519418011,,S2
2017-09-16 21:19:13+00:00,10.297516665237618,9.22268097223466,S2
2017-09-21 21:00:24+00:00,49.16304948368029,49.08561405923529,L8
2017-10-08 20:56:40+00:00,,,L7
2017-10-21 21:19:03+00:00,35.66212662553255,38.10387591617328,S2
2017-11-08 21:00:31+00:00,38.25156702845145,49.96568174210148,L8
2017-11-09 20:56:40+00:00,46.4343201249342,53.23068420789671,L7
2017-11-10 21:19:02+00:00,29.74940233055099,34.344618249861405,S2
2017-11-15 21:19:14+00:00,31.260646884664705,35.012148459541365,S2
2017-11-16 21:02:49+00:00,49.09724632053689,52.61213923184079,L7
