dates,oahu0101_0001,oahu0101_0002,oahu0101_0003,oahu0101_0004,oahu0101_0005,oahu0101_0006,oahu0101_0007,oahu0101_0008,oahu0101_0009,oahu0101_0010,oahu0101_0011,oahu0101_0012,oahu0101_0013,oahu0101_0014,oahu0101_0015,oahu0101_0016,oahu0101_0017,oahu0101_0018,oahu0101_0019,oahu0101_0020,oahu0101_0021,oahu0101_0022,satname
2019-01-06 20:55:17+00:00,38.74782473274838,34.97829180058534,33.59044012669968,41.08353099371166,41.05675878839655,45.77078213685673,54.24181884234713,58.87867741370907,53.03527959267812,52.92796767475222,59.27035223598075,59.27491763284611,57.48499774816559,58.50188309874035,51.48492450354739,55.82482129791853,53.56327883743275,45.85894505511857,53.46154221171871,52.14648793210687,45.02971247324572,41.07283870451091,L7
2019-01-09 21:19:30+00:00,29.54443977143408,22.307444067109028,17.14516534268685,22.39056508977021,28.46859436226084,33.907208656581304,46.36842406238637,51.40063180419578,46.16560088037546,46.88747262915011,52.42064255114502,49.49887960582021,48.1281309837189,48.6652745429632,54.30203147734514,60.47272204008003,59.19279380508379,51.601026658233934,59.755253057325845,58.95496115848808,53.68362773010117,52.58236344959143,S2
2019-01-15 20:48:49+00:00,2.9297116088083577,-0.1749187854446505,-2.5471565599792703,5.700870204463624,11.917115355390472,16.195530070939274,25.567880633550363,30.40083060541861,25.45405728873768,24.778782195674182,34.562371432425685,31.58435145373543,30.82322399966577,32.303609872268936,35.70635335373609,31.9313628512404,30.37177286988772,23.85304619098243,35.06115313104305,26.972081363187343,18.184949157555582,,L7
2019-01-19 21:19:31+00:00,41.75716264484147,35.81615982679204,37.00643371535339,46.5803165360774,53.38298912073194,53.65550432826271,58.629729032573735,59.68001574842944,53.97239499007395,53.84909638973448,62.23395177382866,58.488043514945794,,,,,,,,,,,S2
2019-01-22 20:54:46+00:00,42.63377117699682,36.50221426205995,33.31809912119721,42.08488057807783,49.36652670968354,51.78449997534224,48.63248504771156,52.84043532083041,47.73257169197531,46.372527156029136,51.69925322191728,47.85097852426209,44.66240999187325,42.32565913402274,48.60130840044188,54.67109962839231,53.29175621099709,46.81360839176821,51.27199676095792,,36.63068932912243,23.965176800856103,L7
2019-01-31 20:48:18+00:00,,,,,,,,,,,,,,,,,,,,,,,L7
2019-02-03 21:19:34+00:00,26.561175190729845,19.49872721871154,18.10371061182968,29.36092789869819,37.26377396039916,42.82897731072317,51.03015715915022,56.3505491913126,50.6940322276526,50.98555594410097,56.56810612706783,53.63411441238093,53.53634538040428,55.9792034970726,61.451345804397285,61.16172303389309,57.66749599086363,51.26618113736144,60.50144900667126,61.56308360928464,52.29342892861741,,S2
2019-02-07 20:54:17+00:00,,,20.492161262612747,27.91581593096464,30.395793032911048,32.43027591431876,41.16944105903339,46.11825646695425,41.38947101856721,42.21971712184326,49.54113949646586,45.19337107828777,45.07947744792883,46.94693300039375,50.87631084019062,54.81789638738449,53.32203739479259,45.401578232501926,55.24196047568179,55.43394855114194,47.9046429012935,43.202438474755056,L7
2019-02-08 21:19:31+00:00,24.87502227514479,19.575466459312672,16.744976028447038,23.50108516778668,24.56418928560701,29.356008869099306,39.51357955154609,40.660065632769815,36.61258013514264,36.795917536780536,41.35877481889044,39.06777598598851,40.20824629302676,44.716951675464,49.5666536235692,52.07385924721997,49.820087191576064,41.93408105540797,50.53081011612847,47.39539687947945,44.61370512574925,40.564257651480574,S2
2019-02-13 21:19:34+00:00,37.91160582158674,29.834369848625776,26.297849077304004,31.39683235934609,34.95268959846407,36.01917625006358,45.78005584425791,49.8346110914087,44.0280349057906,50.41357406338832,57.71231674964917,54.65785342418291,54.16742211198696,56.15292140219814,60.36522708729178,63.86848445589613,61.83521715667355,55.27093210758033,63.86520590128685,62.15154435465565,55.68739615692461,53.14222100834753,S2
