dates,oahu0002_0001,oahu0002_0002,oahu0002_0003,oahu0002_0004,oahu0002_0005,oahu0002_0006,oahu0002_0007,oahu0002_0008,oahu0002_0009,oahu0002_0010,oahu0002_0011,oahu0002_0012,oahu0002_0013,oahu0002_0014,satname
2013-06-30 20:55:46+00:00,57.06769466016834,36.30126081299253,33.2473895065196,28.717324877979312,27.72115414691898,28.836427321477853,31.26020915726834,30.689190168125347,32.59926460274912,31.62050629090192,31.610180164575347,32.056687639326185,31.251979319719347,28.639987722012687,L7
2013-07-09 20:49:28+00:00,57.68979646428263,34.996815128325004,33.403376079607135,29.23286753672916,26.743338782618466,29.285379754937324,30.849431016899203,31.256049504919083,35.38266589690127,34.63795615453679,39.072770961541565,37.68571880968581,38.37632087011762,40.16925723561566,L7
2013-07-16 20:55:37+00:00,,,,26.02932385520352,27.4615299521088,26.63016543481497,27.065538636523563,28.82022714433837,29.97969810537763,31.29743197621808,33.60332615254243,33.91718289640724,34.926887979713065,38.10955757570144,L7
2013-07-25 20:49:21+00:00,57.50836630935231,38.62292323465462,38.538294892082206,34.983408656605725,35.867727191242835,36.37902401397532,37.88072973031984,36.23944534592562,41.37425481900925,41.740187752681216,45.1679110187502,45.38902583886322,49.98222600373762,51.121644573162285,L7
2013-08-09 21:02:15+00:00,56.6452856269359,36.52471632824342,34.621534209063675,28.30406345301267,27.30057918778479,30.2020631870852,29.92473187285247,30.45538567372116,33.752017126938945,33.344692277603755,38.64163187259681,38.98107871574575,41.61221004668614,44.62464473022855,L8
2013-08-18 20:56:05+00:00,,,,,,,,,,,,,,,L8
2013-08-25 21:02:17+00:00,55.854158130743,35.80478128321251,34.02461462228512,29.79033738244632,29.20613799764856,30.413100088406026,30.429990530373995,29.833681257545187,38.11005466934258,36.00844989588656,40.25549060281762,40.88375576159324,42.71740909493338,42.0151738480165,L8
2013-08-26 20:49:28+00:00,,,,,,,,,,,,,,,L7
2013-09-02 20:55:44+00:00,48.82660193649227,26.85265663641931,20.86502471934204,19.25307168366308,17.685062077546753,21.32068205569336,22.72039460845927,23.55032192942735,18.91491078467261,23.306255139355635,21.756425375105746,25.851199828745,28.923558448708818,28.9481268194871,L7
2013-09-11 20:49:40+00:00,,,,,,,,,,,,,,,L7
2013-09-27 20:49:49+00:00,,,,,,,,,,,,,,,L7
2013-10-05 20:55:57+00:00,,,,,,,,,,,,,,,L8
2013-10-13 20:50:03+00:00,62.37863148756654,41.65238921608432,39.47970542594665,33.914923161668995,39.693079560223005,,,,,,,,,,L7
2013-11-06 20:55:48+00:00,58.779975335681854,36.905586438028,34.21366740177213,29.893400561086374,29.50942206570791,30.648489107682785,28.17211352434684,27.16342589279199,30.036447195353063,31.95544330744876,35.625502970223565,36.529413560208255,38.458606530553546,39.32934859174029,L8
2013-11-13 21:01:57+00:00,59.05645957089551,35.27701402111948,31.725879161466807,30.699898511161138,24.517786439607008,29.956744973490512,28.6806909269353,29.58225448486532,32.522719151776506,28.94728360349944,29.551096589862865,32.71074417738543,34.232723650652744,37.05729360393953,L8
2013-12-08 20:55:40+00:00,49.91749619074951,30.622514283069183,28.73862562175121,25.572488766172924,22.41480746719056,25.49086508951102,24.96695507389203,26.35123366138277,24.77069674426202,22.835054783358984,25.55904912180284,29.79451768505302,32.64054214214825,36.23349483741523,L8
2013-12-24 20:55:30+00:00,49.45934290710977,29.34086378317821,29.125386725725555,27.47050563432635,23.25199496979416,27.658316709311627,29.20499644016386,28.581637338884025,22.38992805361142,21.808409586044903,22.640723777674413,23.631638407121947,24.23462061248109,29.708860283477023,L8
