dates,oahu0017_0001,oahu0017_0002,oahu0017_0003,oahu0017_0004,oahu0017_0005,oahu0017_0006,oahu0017_0007,satname
2016-01-31 20:54:07+00:00,9.318673016082675,38.431445360931065,48.9898811593721,58.302434799939306,69.57882471090338,67.12552156236275,,L8
2016-02-07 21:00:15+00:00,4.129909419230039,11.92214834175709,17.57148900198263,54.34040043939024,58.37300361296997,46.2104267495301,49.795620944517786,L8
2016-02-08 20:55:55+00:00,,,,,,,,L7
2016-02-15 21:02:07+00:00,15.261335932713918,38.25049039399644,,57.69733487600378,51.30220370275923,39.76436924935664,44.291660423185945,L7
2016-02-16 20:53:58+00:00,5.860985505741684,14.734534176273996,31.35943152284643,55.23981468504471,66.42414723231992,51.14658535694304,,L8
2016-02-24 20:55:56+00:00,4.835151786584402,19.65780576589129,33.27732653104056,50.49607003744613,50.53050947066578,47.03537384287027,55.63612390394432,L7
2016-03-03 20:53:57+00:00,2.432543911669333,13.460179564451195,41.00862633228386,50.99799344089041,56.32533012399858,53.53349293384199,63.20309296659004,L8
2016-03-10 21:00:06+00:00,8.876746835839946,17.02207597453994,46.200181418441616,54.70532575128914,68.06808138742022,61.02341582909715,,L8
2016-03-26 20:59:57+00:00,23.382934292343908,38.13262256484475,49.27025889630423,60.74622002655958,72.48506066704881,65.33110314731869,,L8
2016-03-27 20:56:13+00:00,30.222042462949936,38.202234537149934,48.342844184726914,59.32998701534768,76.40329404379136,75.96820056305353,,L7
2016-04-12 20:56:18+00:00,15.213118206451028,37.93779557159433,47.89293824795893,58.90179040178344,82.86619976725191,76.90698066503064,,L7
2016-04-14 21:19:19+00:00,21.68281699826877,35.640316969778,49.21115586402932,66.22783615621934,79.51030640130858,81.63862695676531,,S2
2016-04-28 20:56:25+00:00,12.940241564585031,26.848364475755425,43.28638220809468,55.94960153106388,72.7159528295323,71.9250130666267,,L7
2016-05-06 20:53:39+00:00,23.971493908912795,38.67718251849346,50.30360755440808,62.289205629798445,75.05843810212792,72.73192710389027,,L8
2016-05-24 21:19:24+00:00,-5.20929421994023,2.9200922927744584,22.799473278797645,39.56936483839571,55.80511926838073,54.71046141631333,50.44392801019297,S2
2016-06-03 21:19:23+00:00,-2.032632985849958,2.625966585701476,12.771540985921025,37.06015376491279,47.28635986145496,45.395013630556384,37.9464674284071,S2
2016-06-06 21:02:46+00:00,,,,,,,,L7
2016-06-07 20:53:44+00:00,18.77948074286443,38.236637724890016,48.146709849331216,57.23244730182397,76.38983658678109,74.82857772684517,,L8
2016-06-13 21:19:22+00:00,8.488891345334212,9.587463383023666,15.9452378724177,41.07957813302218,51.38330826646259,47.07813459286448,43.838242170114775,S2
2016-06-23 20:53:50+00:00,4.954902102195208,14.32562992921524,40.11384435866054,53.108650335169806,64.8885088336991,63.76220212670121,,L8
2016-06-23 21:19:19+00:00,,,,,,,,S2
2016-07-01 20:56:37+00:00,1.7697721123786347,13.515161109390482,35.263153143232856,49.582060455663495,57.5287158895205,56.954358279479656,62.22974740166092,L7
2016-07-13 21:19:23+00:00,5.14922097372945,19.0938877567126,49.383143219726456,57.60676054329944,66.65765778428595,66.54108796156407,85.27048747084699,S2
2016-08-09 21:02:51+00:00,,,,,,,,L7
2016-08-10 20:54:05+00:00,7.644609797382591,22.29169043398385,50.37025101639058,60.31775576523836,71.86116996641528,70.83133384541252,,L8
2016-08-18 20:56:41+00:00,,,,,,,,L7
2016-08-22 21:19:20+00:00,5.655349282000803,13.558126619257145,35.17608594592575,53.05863648098077,66.32567798673766,62.1623961953924,57.33777861883558,S2
2016-08-25 21:02:54+00:00,-1.8199608470631123,11.990555052858143,39.58613502972539,53.2115964800815,59.13538533749853,60.06288021967988,64.58154824350383,L7
2016-09-01 21:19:19+00:00,23.015455794510224,9.410870374602398,12.521974850870505,34.99649398337674,43.99227204303712,39.38556891484342,39.61037913854947,S2
2016-09-10 21:02:57+00:00,,,,,,,,L7
2016-09-18 21:00:28+00:00,2.1961694019516065,2.8010923479557333,10.847584287463071,34.65814131699602,46.04508722568911,39.717014863474624,57.29574059308283,L8
2016-09-19 20:56:47+00:00,6.821440087852211,21.233855435853727,41.47994679104882,54.45975067234708,63.860359273543786,65.75673621994365,83.77281512901483,L7
2016-09-27 20:54:17+00:00,5.489834501146777,15.113391537068726,50.84759442373534,61.85647270369068,85.51874239002919,77.00751149657138,,L8
2016-10-04 21:00:30+00:00,7.429852064853564,21.24358840210648,45.52272721229749,53.90816414010774,69.67775126344323,65.38346625107852,,L8
2016-10-11 21:19:12+00:00,-1.1327390816997387,9.823367798948285,32.86478815614641,47.14624554249311,60.474122592431016,60.14083305346682,,S2
2016-10-12 21:02:59+00:00,,,,,,,,L7
2016-10-20 21:00:35+00:00,5.713811619024672,18.02657060211073,49.49582079145524,57.78645937042156,69.38468092380946,62.976376727144064,,L8
2016-10-31 21:19:14+00:00,-0.7755708645330425,6.499048234607878,15.181941109396163,42.40664739909933,53.94857697654027,50.684649310163664,48.556559057158566,S2
2016-11-05 21:00:34+00:00,3.937241076136917,11.302624747296411,24.256272291266853,50.80257336364842,62.21564617331058,63.01000476739635,,L8
2016-11-10 21:19:14+00:00,4.450781567421426,11.68698143007742,37.2061774163468,50.17022934542006,59.6114976363084,57.56603090739317,49.791358451485976,S2
2016-11-13 21:02:47+00:00,13.864412298998534,33.60408291957931,48.8741547381215,58.83644854872043,77.44245346285827,77.12245813799869,,L7
2016-12-10 21:19:12+00:00,-0.7271223959288223,6.694819541304269,19.02879738781672,40.63607277032673,53.24046899847397,49.34279243094443,45.90262247252552,S2
2016-12-16 20:54:19+00:00,3.229486930497913,12.229506117695308,,44.67585949452497,54.14879672911332,44.814273477724925,49.25656422156925,L8
2016-12-20 21:19:10+00:00,3.589888045341924,10.262147828641329,30.91928117272192,44.53256220342281,56.290572741555145,54.39615868204768,54.15505897281199,S2
2017-01-08 21:00:25+00:00,8.708976736287246,27.821991105322173,49.48776477859735,59.61736759000881,70.71082770897412,69.43804531531805,,L8
2017-01-24 21:00:20+00:00,7.929855950287807,23.883017964466475,49.698351225303696,59.03934310990948,72.256057615554,75.08283102334944,,L8
2017-01-25 20:56:05+00:00,3.2878380780033063,11.140565007012368,14.972350023988996,55.82953797376449,52.50540551883624,44.258026530996986,46.11582191485724,L7
2017-01-29 21:19:09+00:00,,,68.0138048295249,,,,,S2
2017-02-17 21:02:13+00:00,11.608550147024118,10.90669483383446,46.17327667775547,54.69870758108162,71.14864154143795,57.46351466890447,,L7
2017-02-18 21:19:10+00:00,23.63002991599925,20.873347246339417,41.077582536118015,53.73598247521597,64.83556244372791,62.87605643400288,77.91946490390984,S2
2017-03-05 21:02:21+00:00,,,,,,,,L7
2017-03-06 20:53:52+00:00,1.2370734915028152,38.43899075799898,50.1545784446984,58.419541480210015,74.16900207596902,70.44685265126189,,L8
2017-03-13 20:59:58+00:00,7.82069340037142,38.104055527058286,49.75997864614677,56.2551706838522,65.31485398921505,58.70877743433625,,L8
2017-03-14 20:56:14+00:00,,,,,,83.15467894930428,,L7
2017-03-22 20:53:41+00:00,,,,60.87648388029719,72.29029142695025,71.62864210288292,,L8
2017-03-30 20:56:18+00:00,,,,,,,,L7
2017-04-09 21:19:14+00:00,-0.217381206868838,8.02834840496959,24.346193243887765,44.31962265410685,55.91767842651279,52.67787365023851,50.316439733990194,S2
2017-04-15 20:56:24+00:00,,,,,,,,L7
2017-04-23 20:53:25+00:00,7.686161257868904,19.5836171877611,41.41783258052807,56.26212001762198,66.1268493920867,64.56848328700762,,L8
2017-05-01 20:56:30+00:00,,,,,,,,L7
2017-05-09 20:53:25+00:00,6.411340420438647,30.565839602362963,48.8232834019674,58.86225448676615,74.5642158088049,72.7290003448135,,L8
2017-05-25 20:53:36+00:00,,,,,,,,L8
2017-06-26 20:53:49+00:00,25.30566629922766,38.62029005310718,47.826335889823184,57.58457338209375,81.71158877715035,72.50571621893668,,L8
2017-06-28 21:19:14+00:00,3.916267533045981,10.754524956795803,24.97757830075461,45.5146882081802,58.90321556908805,58.34628157905926,54.29046806483884,S2
2017-07-13 21:19:16+00:00,-3.1715791032794183,3.9230894800579055,27.013096805166203,38.34132776952696,52.404854653688616,51.53005938973161,50.245063446761336,S2
2017-07-18 21:19:17+00:00,7.519844444818397,6.160363040226547,12.081230928682425,33.08211396832543,38.89531745058982,40.13023681221798,35.31356054309892,S2
2017-07-20 20:56:43+00:00,,,,,,,,L7
2017-07-28 20:54:00+00:00,1.5976972001426264,8.731837723792683,19.80029311344668,49.3501891760789,67.90367032443251,64.47703470251987,,L8
2017-08-05 20:56:41+00:00,5.007374589459099,12.26389781538644,32.22180336308635,50.0343356216495,56.39245209525638,53.97200704938358,58.2329394837283,L7
2017-08-12 21:02:50+00:00,12.534992292294076,19.19137120632888,36.97934949834283,52.07075625449036,60.15191326445566,60.57466830571661,62.49094808341891,L7
2017-08-13 20:54:06+00:00,28.07967142703429,39.58803851094072,50.711395540110985,60.30654886794903,73.13443430336997,73.22609412708954,,L8
2017-08-22 21:19:12+00:00,-3.998108650968636,0.9659038666413052,,33.163341541626025,46.90575105735893,41.99029814077397,48.69300526076567,S2
2017-08-27 21:19:16+00:00,7.173421334777784,10.78160519106993,23.095955219231463,41.18192971491233,54.24034260644973,51.35512170758453,45.91667798243553,S2
2017-09-05 21:00:21+00:00,7.68719476196451,20.504096069205843,49.43321973862094,60.41990122362247,78.69278769297796,75.68852005307235,,L8
2017-09-11 21:19:07+00:00,-6.331898001719153,-10.12668391637426,,,,34.28277025436152,,S2
2017-09-14 20:54:10+00:00,9.6054981094959,23.57389513645037,51.185613758178114,59.12320818265988,68.6370290222145,72.90016663953689,,L8
2017-09-16 21:19:13+00:00,5.337342135582768,9.299723449613388,29.08857891537471,40.62418051225171,53.04448798054998,52.003464778673184,47.22941258406116,S2
2017-09-22 20:56:38+00:00,,,,,,,,L7
2017-09-29 21:02:50+00:00,,,,,,,,L7
2017-09-30 20:54:17+00:00,17.314817834313565,36.12844455727711,53.12780638335979,63.90541454561791,85.95014122105795,78.80222720282377,,L8
2017-10-07 21:00:30+00:00,8.82592146674537,37.412164153999406,49.092189317823696,56.50516479606884,66.1395479386129,65.07679018886958,,L8
2017-10-08 20:56:40+00:00,,,,,,,,L7
2017-10-16 20:54:21+00:00,13.922977723582754,,,,,,,L8
2017-10-21 21:19:03+00:00,-2.456351539648197,3.2080552748982027,27.14087620914941,39.01758122163546,52.15769695594565,52.41688288828389,70.63306871767537,S2
2017-10-26 21:19:15+00:00,-1.840978019073156,11.423439931760251,34.06731134825667,51.96587126329942,64.76549907691614,62.20666526334971,,S2
2017-11-08 21:00:31+00:00,8.377869434905508,16.61777118630557,32.804636760133334,55.03355415670843,66.3443895357446,67.43493590003123,,L8
2017-11-10 21:19:02+00:00,-2.655963414060854,2.89092788942306,18.23190425886296,37.10885151645048,53.271725520642974,50.998451773630514,49.785608038188606,S2
2017-11-16 21:02:49+00:00,,,,,,,,L7
2017-11-17 20:54:17+00:00,4.818666257255028,13.870768616483126,35.31350217052991,58.94490495027728,77.76777004200336,68.04470212413914,,L8
2017-11-24 21:00:25+00:00,7.305546932989818,22.602447449476728,46.852735722377865,59.45251796738577,73.85710769457593,70.94414947541728,85.20619572826512,L8
